{'--help': False,
 '--keys': '1024',
 '--linear': None,
 '--retrieveonly': True,
 '--size': '16',
 '--storeonly': False,
 '--times': '61440',
 '--uniform': False,
 '--version': False,
 '--zipf': '2',
 '<addr>': None,
 '<key>': None,
 '<nodes>': ['172.16.133.246:8001', '172.16.132.100:8001', '172.16.132.101:8001', '172.16.132.102:8001', '172.16.132.103:8001', '172.16.132.104:8001', '172.16.132.105:8001', '172.16.132.106:8001', '172.16.132.107:8001', '172.16.132.108:8001', '172.16.132.109:8001', '172.16.132.110:8001', '172.16.132.111:8001', '172.16.132.112:8001', '172.16.132.113:8001', '172.16.132.114:8001', '172.16.132.115:8001', '172.16.132.116:8001', '172.16.132.117:8001', '172.16.132.118:8001', '172.16.132.119:8001', '172.16.132.120:8001', '172.16.132.41:8001', '172.16.132.42:8001', '172.16.132.43:8001', '172.16.132.44:8001', '172.16.132.46:8001', '172.16.132.47:8001', '172.16.132.48:8001', '172.16.132.49:8001', '172.16.132.50:8001', '172.16.132.51:8001', '172.16.132.52:8001', '172.16.132.53:8001', '172.16.132.54:8001', '172.16.132.55:8001', '172.16.132.56:8001', '172.16.132.57:8001', '172.16.132.58:8001', '172.16.132.59:8001', '172.16.132.60:8001', '172.16.132.61:8001', '172.16.132.62:8001', '172.16.132.63:8001', '172.16.132.64:8001', '172.16.132.66:8001', '172.16.132.67:8001', '172.16.132.68:8001', '172.16.132.69:8001', '172.16.132.70:8001', '172.16.132.72:8001', '172.16.132.73:8001', '172.16.132.74:8001', '172.16.132.76:8001', '172.16.132.77:8001', '172.16.132.78:8001', '172.16.132.79:8001', '172.16.132.80:8001', '172.16.132.82:8001', '172.16.132.83:8001', '172.16.132.84:8001', '172.16.132.85:8001', '172.16.132.86:8001', '172.16.132.87:8001', '172.16.132.88:8001', '172.16.132.89:8001', '172.16.132.90:8001', '172.16.132.91:8001', '172.16.132.92:8001', '172.16.132.93:8001', '172.16.132.94:8001', '172.16.132.95:8001', '172.16.132.96:8001', '172.16.132.97:8001', '172.16.132.98:8001', '172.16.132.99:8001'],
 '<target>': None,
 'findnode': False,
 'findvalue': False,
 'id': False,
 'ip': False,
 'iterative': False,
 'oneshot': False,
 'ping': False,
 'shutdown': False,
 'store': False,
 'table': False,
 'test': True}
('Using alpha', 2)
Using 172.16.133.246:8001 as the main node for storage setup
timespan 902ba3cda1883801594b6e1b452790cc53948fda 0.0130870342255
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0138921737671
timespan 1b6453892473a467d07372d45eb05abc2031647a 0.00860118865967
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00579881668091
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0146059989929
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00344800949097
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00552296638489
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00507402420044
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00313806533813
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00479221343994
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00796794891357
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.0212149620056
timespan c1dfd96eea8cc2b62785275bca38ac261256e278 0.0236659049988
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00794887542725
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00350213050842
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00526094436646
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00534415245056
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0066819190979
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.0108330249786
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00509595870972
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00566387176514
timespan fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b 0.010213136673
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00538897514343
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.024729013443
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0077691078186
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.0167899131775
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00559186935425
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.0182769298553
timespan fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f 0.00790095329285
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00596523284912
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00557494163513
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00336694717407
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00557518005371
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0079391002655
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00530099868774
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0141358375549
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00579309463501
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00341606140137
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00518918037415
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00772786140442
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00595903396606
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00487399101257
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00500392913818
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00340509414673
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00335907936096
timespan ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4 0.00552797317505
timespan ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4 0.00331497192383
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00497198104858
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00875496864319
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00531387329102
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00586485862732
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.0047869682312
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.013573884964
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00347280502319
timespan 902ba3cda1883801594b6e1b452790cc53948fda 0.00581502914429
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00542497634888
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00498104095459
timespan ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4 0.0115270614624
timespan 7719a1c782a1ba91c031a682a0a2f8658209adbf 0.0105760097504
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00643396377563
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00595688819885
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00347304344177
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.005038022995
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00576090812683
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00571298599243
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00569200515747
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00532007217407
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00351905822754
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00344395637512
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00462603569031
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00476312637329
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00349998474121
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00343179702759
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00548005104065
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00786685943604
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00328493118286
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00340914726257
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00368094444275
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.0046238899231
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00480699539185
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00342988967896
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00505709648132
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00472712516785
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00330305099487
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00323486328125
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00560998916626
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00341892242432
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00494003295898
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00327014923096
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00333499908447
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00560402870178
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00344085693359
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00347113609314
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00488901138306
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00493502616882
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00493097305298
timespan 0ade7c2cf97f75d009975f4d720d1fa6c19f4897 0.00799107551575
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00370717048645
timespan 1b6453892473a467d07372d45eb05abc2031647a 0.00644087791443
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00349116325378
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00765991210938
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00499796867371
timespan 0ade7c2cf97f75d009975f4d720d1fa6c19f4897 0.00870490074158
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00325202941895
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00323891639709
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00552010536194
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00502705574036
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00323390960693
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00322985649109
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00318789482117
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00515103340149
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00347495079041
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00486493110657
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00477385520935
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00570201873779
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00330710411072
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00464105606079
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00352883338928
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00307607650757
timespan fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b 0.00513505935669
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00453209877014
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00287413597107
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00261688232422
timespan ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4 0.0047619342804
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00516700744629
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00351715087891
timespan e6c3dd630428fd54834172b8fd2735fed9416da4 0.0085620880127
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00502896308899
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00355792045593
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00338792800903
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.006098985672
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00523900985718
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00331211090088
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00498104095459
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00358295440674
timespan f6e1126cedebf23e1463aee73f9df08783640400 0.0079071521759
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00329685211182
timespan 8effee409c625e1a2d8f5033631840e6ce1dcb64 0.0113918781281
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00340890884399
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00353288650513
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00345611572266
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00797200202942
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00555610656738
