{'--help': False,
 '--keys': '1024',
 '--linear': None,
 '--retrieveonly': True,
 '--size': '16',
 '--storeonly': False,
 '--times': '4096',
 '--uniform': False,
 '--version': False,
 '--zipf': None,
 '<addr>': None,
 '<key>': None,
 '<nodes>': ['172.16.133.246:8001', '172.16.132.130:8001'],
 '<target>': None,
 'findnode': False,
 'findvalue': False,
 'id': False,
 'ip': False,
 'iterative': False,
 'oneshot': False,
 'ping': False,
 'shutdown': False,
 'store': False,
 'table': False,
 'test': True}
Using 172.16.133.246:8001 as the main node for storage setup
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00481510162354
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00161099433899
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00324106216431
timespan d2578a848888259fc29e19f4770e0f27690a02ea 0.00217795372009
timespan eac6819d6e578da7ba6eed2a8df7ca3d425246c8 0.00194907188416
timespan 61188f24396807ba7ca38919a158766de935852e 0.00189590454102
timespan f1c6feb7a3622b32bac480cf859a255cfaa778b9 0.00320911407471
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00237989425659
timespan 8c4a0a7afbb10de1e63107ce71805605f1a81765 0.00329089164734
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00294303894043
timespan 2e01e17467891f7c933dbaa00e1459d23db3fe4f 0.00190687179565
timespan 75d2a5a3c528920d00425f29099eed114b9134e0 0.00190186500549
timespan fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f 0.00330996513367
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00249195098877
timespan bf0d80b16262738fcdcb9b2e3d6a600cf75e4cc4 0.00311899185181
timespan f8d0f85975e49b959799cc52847110cc940b9db1 0.00409007072449
timespan 97b31c942deab39118e64423efe46b9c31e669f7 0.00283098220825
timespan 524e05dc77239f3a15dab766aaa59a9e432efde7 0.00420784950256
timespan bd307a3ec329e10a2cff8fb87480823da114f8f4 0.00404500961304
timespan 17ba0791499db908433b80f37c5fbc89b870084b 0.00177597999573
timespan 5b7d26c4d99b922929b7c30ce06be0fd58a71500 0.00187087059021
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00181293487549
timespan cb4e5208b4cd87268b208e49452ed6e89a68e0b8 0.00333499908447
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.0022668838501
timespan 7d7116e23efef7292cad5e6f033d9a962708228c 0.00283193588257
timespan 761f22b2c1593d0bb87e0b606f990ba4974706de 0.00278091430664
timespan 63573d008f93d619a8743d27c55d58dcaab1c28d 0.00241899490356
timespan 0ade7c2cf97f75d009975f4d720d1fa6c19f4897 0.00272798538208
timespan 7f03f3f2febc46f3fa832d98251b0c98f64bc19b 0.00278782844543
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00320100784302
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00312900543213
timespan 1b6453892473a467d07372d45eb05abc2031647a 0.00240421295166
timespan fa755791d0509bb06ae715a2072de724815ed84d 0.00353002548218
timespan ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4 0.00173902511597
timespan 632667547e7cd3e0466547863e1207a8c0c0c549 0.00250101089478
timespan acfdd18ea7f4a2ba74132ba977dc207204142994 0.00460600852966
timespan 0ca9277f91e40054767f69afeb0426711ca0fddd 0.00407004356384
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00229406356812
timespan fc074d501302eb2b93e2554793fcaf50b3bf7291 0.00213003158569
timespan 4d134bc072212ace2df385dae143139da74ec0ef 0.00217294692993
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00276899337769
timespan 12c6fc06c99a462375eeb3f43dfd832b08ca9e17 0.00482296943665
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00330090522766
timespan 88a9d5a83b2b7e4bc74200cc205858df88a90f44 0.0031590461731
timespan 72ab8108eff0514f059c30e2e277c37a9aaf1b04 0.00312185287476
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00320219993591
timespan cb4e5208b4cd87268b208e49452ed6e89a68e0b8 0.00340509414673
timespan b1d5781111d84f7b3fe45a0852e59758cd7a87e5 0.00409388542175
timespan 902ba3cda1883801594b6e1b452790cc53948fda 0.00338411331177
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00227999687195
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00280594825745
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00294399261475
timespan 2bc4a9de212381b2bbb88945fcc28f65c338b37a 0.00240707397461
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.0023889541626
timespan fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f 0.00259017944336
